Date,Name,Year,Letterboxd URI
2025-01-02,Monty Python and the Holy Grail,1975,https://boxd.it/29GI
2025-01-02,Past Lives,2023,https://boxd.it/oNB8
2025-01-02,The King of Comedy,1982,https://boxd.it/2aJS
2025-01-02,Witness for the Prosecution,1957,https://boxd.it/18H4
2025-01-02,The English Patient,1996,https://boxd.it/2arE
2025-01-02,The Great Escape,1963,https://boxd.it/22kA
2025-01-02,PlayTime,1967,https://boxd.it/1WLK
2025-01-02,Primal Fear,1996,https://boxd.it/28ws
2025-01-02,8½,1963,https://boxd.it/2aqm
2025-01-02,Guess Who's Coming to Dinner,1967,https://boxd.it/27Xi
2025-01-02,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK
2025-01-02,Thesis,1996,https://boxd.it/1Z1U
2025-01-02,"What's Up, Doc?",1972,https://boxd.it/21iy
2025-01-02,Capernaum,2018,https://boxd.it/iM3s
2025-01-02,Booksmart,2019,https://boxd.it/igNS
2025-01-02,Phantom of the Paradise,1974,https://boxd.it/1s34
2025-01-02,Le Trou,1960,https://boxd.it/1nSw
2025-01-02,The Red Shoes,1948,https://boxd.it/1EXI
2025-01-02,My Life as a Zucchini,2016,https://boxd.it/dL2y
2025-01-02,Sleuth,1972,https://boxd.it/298c
2025-01-02,The Insider,1999,https://boxd.it/1ZoE
2025-01-02,Lady Bird,2017,https://boxd.it/dGNE
2025-01-02,The Young and the Damned,1950,https://boxd.it/29AA
2025-01-02,Wild Tales,2014,https://boxd.it/7UmK
2025-01-02,Dark Waters,2019,https://boxd.it/kaYu
2025-01-02,The Warriors,1979,https://boxd.it/1TLC
2025-01-02,Wings of Desire,1987,https://boxd.it/2b26
2025-01-02,House,1977,https://boxd.it/1vsm
2025-01-02,Seven Psychopaths,2012,https://boxd.it/34PW
2025-01-02,In a Lonely Place,1950,https://boxd.it/1JgO
2025-01-02,The Young Girls of Rochefort,1967,https://boxd.it/26K8
2025-01-02,Say Anything...,1989,https://boxd.it/27B2
2025-01-02,"Suddenly, Last Summer",1959,https://boxd.it/1NyC
2025-01-02,Mary and Max,2009,https://boxd.it/1y2m
2025-01-02,A Ghost Story,2017,https://boxd.it/fb0K
2025-01-02,The Human Condition III: A Soldier's Prayer,1961,https://boxd.it/1dIQ
2025-01-02,The Human Condition I: No Greater Love,1959,https://boxd.it/1jAy
2025-01-02,Ran,1985,https://boxd.it/1Tlu
2025-01-02,A Brighter Summer Day,1991,https://boxd.it/1Luy
2025-01-02,Autumn Sonata,1978,https://boxd.it/1Rio
2025-01-02,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2025-01-02,Woman in the Dunes,1964,https://boxd.it/1JNS
2025-01-02,Paths of Glory,1957,https://boxd.it/29b6
2025-01-02,Sunset Boulevard,1950,https://boxd.it/2a20
2025-01-02,Andrei Rublev,1966,https://boxd.it/29lg
2025-01-02,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2025-01-02,The Passion of Joan of Arc,1928,https://boxd.it/29DO
2025-01-02,The Human Condition II: Road to Eternity,1959,https://boxd.it/1dJa
2025-01-02,Whiplash,2014,https://boxd.it/7bQA
2025-01-02,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2025-01-02,Fanny and Alexander,1982,https://boxd.it/22go
2025-01-02,The Cranes Are Flying,1957,https://boxd.it/169Y
2025-01-02,Stalker,1979,https://boxd.it/28PO
2025-01-02,Close-Up,1990,https://boxd.it/1m9q
2025-01-02,The Battle of Algiers,1966,https://boxd.it/1IRY
2025-01-02,Sansho the Bailiff,1954,https://boxd.it/1Dkq
2025-01-02,The Ascent,1977,https://boxd.it/Eew
2025-01-02,A Woman Under the Influence,1974,https://boxd.it/1myg
2025-01-02,In the Mood for Love,2000,https://boxd.it/29tE
2025-01-02,I Am Cuba,1964,https://boxd.it/1hUQ
2025-01-02,Nights of Cabiria,1957,https://boxd.it/1F7e
2025-01-02,It's Such a Beautiful Day,2012,https://boxd.it/hCY2
2025-01-02,Nobody Knows,2004,https://boxd.it/26E0
2025-01-02,Love Exposure,2008,https://boxd.it/1pDe
2025-01-02,Sherlock Jr.,1924,https://boxd.it/298m
