Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-02-26,Frankenstein,2025,https://boxd.it/dj5kkb,3.5,,"Extremely underwhelming. Isaac's performance was too hammy. The monster's design was too clean. A lot of nitpicky plot points make no sense (outside of being faithful to the material). Unnecessary love triangle. Unnecessary love between Elizabeth and the monster.

Take Shelley's Frankenstein. Remove all of the philosophical depth. No questions about mortality, creation, suffering, existence. Make it just a revenge plot.

That's this.

The more I watch of Del Toro the more I realize that the man should have as few creative liberties with a script as possible. He is just not a good script writer. He's a fantastic director with a keen visual eye and a great style. But the moment he starts writing everything goes by the wayside.

I really hoped for more out of this one. It pales when compared to Egger's Nosferatu.",,2025-10-24
2026-02-26,Bugonia,2025,https://boxd.it/dj5kkv,3,,This movie has no idea what it's trying to say,,2025-11-07
2026-02-26,Heretic,2024,https://boxd.it/dj5kkF,3,,Thinks it is smarter than it is. An incredible set-up that they did not know how to capitalize on. The ending was not totally the expected cliché but overall a disappointment.,,2025-11-14
2026-02-26,Caddo Lake,2024,https://boxd.it/dj5kkP,4.5,,Brilliant mind bender,,2025-11-14
2026-02-26,Conclave,2024,https://boxd.it/dj5kkZ,2.5,,"Slow burn i.e. extremely boring. The kind of movie people claim to like to signal they still have an attention span and are ""sophisticated"". For old people that get motion sickness while watching movies.",,2025-11-14
2026-02-26,Magnolia,1999,https://boxd.it/dj5kl9,2.5,,An absolute mess of a film with nothing insightful to say about any of the topics it touches on. The dialogue is hanmy and overdone. The multitude of weaving plot threads don't intersect in any meaningful reveal or for any other reason than intersection. The pacing is rapidfire at the beginning then slows to a halt. Suddenly it's a musical. Suddenly there's an incredulous coincidence. It's like a Murakami fever dream if Murakami was boring and his characters one dimensional.,,2025-11-15
2026-02-26,Wake Up Dead Man,2025,https://boxd.it/dj5klj,4.5,,"Not much to say here. A good Agatha Christie style murder mystery. Twists and turns. A nice depiction of faith although the main character is a gay atheist. You knew what you were getting with Knives out and they delivered. This is a winning, focus group tested, distilled formula. They could make 100 of these and everyone would still watch them.

Daniel Craig has a knack for picking reprising roles in consistent series that can essentially go on forever without the audience getting tired of them.",,2025-11-28
2026-02-26,Train Dreams,2025,https://boxd.it/dj5klt,4.5,,"""Just waiting to see what we've been left here for.""

A beautifully shot and emotionally compelling ""slow burn"" that manages to keep your attention the entire time. I wish there were more complexity to Granier's character. The film doesn't demand much from you, but is enthralling. The vicissitudes of an average life.",,2025-11-30
2026-02-26,Blade Runner,1982,https://boxd.it/dj5klN,5,,"<i>I've seen things you people wouldn't believe. Attack ships on fire off the shoulder of Orion. I watched C-beams glitter in the dark near the Tannhäuser Gate. All those moments will be lost in time, like tears in rain. Time to die.</i>",,2025-11-30
2026-02-26,Memories of Murder,2003,https://boxd.it/dj5klX,4.5,,Beautifully shot but just missing some narrative depth with the plot. Some of the most gorgeous cinematography you'll ever see.,,2025-12-01
2026-02-26,No Other Choice,2025,https://boxd.it/dj5km7,5,,"A social commentary on techno-feudalism wrapped in a black comedy crime thriller. Some of the most striking transitions & modern editing I've ever seen. Gorgeously shot. At once astoundingly hilarious & simultaneously horrifying.

At it's heart a critique of what it takes to win the zero sum game job market in the AI era. Are you truly willing to do what it takes to succeed in an era that sees the Technique of technology consuming all of the world's resources to deposit it as capital in the pocketbooks of the elite?

Never before has society had more immediately available luxuries and efficiencies. Yet, we live in a constant state of stress since we own nothing. We own nothing and are legally regulated out of directly accessing resources. So we are forced to participate in a dog-eat-dog system with fewer and fewer winners.

No Other Choice demonstrates the ethical choices winners must make. What does it take to actually succeed in modern capitalism?",,2025-12-07
